epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.62739,0.71578,3.69018,1.19838,0.00688,0.70833,0.06115,0.04851,0.62261,4.2266,1.16037,8.33e-06,8.33e-06,8.33e-06
2,6.67587,0.75903,3.74049,1.17501,0.00684,0.70833,0.08062,0.06145,0.64022,4.22426,1.16484,2.44952e-05,2.44952e-05,2.44952e-05
3,10.0557,0.7653,3.82597,1.20538,0.00679,0.70833,0.09693,0.07756,0.66017,4.21854,1.15033,4.00007e-05,4.00007e-05,4.00007e-05
4,13.6865,0.82651,3.70739,1.31008,0.00691,0.70833,0.14026,0.09963,0.67012,4.23935,1.16886,5.48464e-05,5.48464e-05,5.48464e-05
5,17.3292,0.76673,3.6539,1.22177,0.00796,0.70833,0.18944,0.14862,0.70019,4.24667,1.17429,6.90324e-05,6.90324e-05,6.90324e-05
6,20.4995,0.70801,3.54747,1.1621,0.00877,0.70833,0.16861,0.13072,0.71492,4.24612,1.16184,8.25586e-05,8.25586e-05,8.25586e-05
7,23.6123,0.59379,3.66032,1.16478,0.00944,0.70833,0.20601,0.15869,0.72413,4.23559,1.15563,9.54251e-05,9.54251e-05,9.54251e-05
8,26.7333,0.57947,3.10068,1.0567,0.01,0.70833,0.3325,0.21393,0.69792,4.18112,1.14805,0.000107632,0.000107632,0.000107632
9,29.7449,0.46066,2.86146,1.08296,0.01016,0.70833,0.37828,0.28607,0.6679,4.16053,1.13209,0.000119179,0.000119179,0.000119179
10,32.7495,0.83691,3.17983,1.25399,0.01003,0.70833,0.38022,0.29174,0.64402,4.13962,1.0985,0.000130066,0.000130066,0.000130066
11,35.7772,0.52656,2.91606,0.97224,0.01028,0.70833,0.38451,0.30234,0.63041,4.11025,1.08951,0.000140294,0.000140294,0.000140294
12,38.8696,0.72037,3.0892,1.18625,0.01089,0.70833,0.41779,0.34356,0.61821,4.06511,1.09642,0.000149862,0.000149862,0.000149862
13,41.9413,0.75251,2.89091,1.23827,0.0122,0.70833,0.42907,0.36949,0.62714,4.03597,1.08604,0.00015877,0.00015877,0.00015877
14,44.8525,0.54014,2.72848,1.08698,0.01217,0.70833,0.39186,0.34851,0.64243,4.00456,1.10069,0.000167018,0.000167018,0.000167018
15,47.9601,0.60062,2.95544,1.12946,0.01303,0.70833,0.37329,0.32908,0.63172,3.9541,1.08984,0.000174607,0.000174607,0.000174607
16,50.9171,0.87599,2.94292,1.26244,0.01289,0.70833,0.36805,0.33056,0.61713,3.90795,1.07754,0.000181536,0.000181536,0.000181536
17,53.9604,0.68079,2.72185,1.24016,0.01434,0.70833,0.37459,0.34044,0.58741,3.8618,1.07536,0.000187805,0.000187805,0.000187805
18,57.0821,0.57823,2.56421,1.05312,0.01495,0.70833,0.37118,0.339,0.56425,3.84485,1.0582,0.000193414,0.000193414,0.000193414
19,60.2607,0.6168,2.58216,1.16151,0.01628,0.70833,0.42496,0.39129,0.54142,3.85878,1.04828,0.000198364,0.000198364,0.000198364
20,63.3108,0.68697,2.3975,1.28275,0.01607,0.70833,0.46783,0.4255,0.54382,3.86126,1.0529,0.000202654,0.000202654,0.000202654
21,66.3574,0.90127,5.55058,1.57674,0.0198,0.70833,0.43691,0.39665,0.57334,3.89557,1.05459,0.000206284,0.000206284,0.000206284
22,69.5306,0.82813,3.50801,1.4817,0.01746,0.70833,0.38286,0.34795,0.59134,3.91781,1.07981,0.000209255,0.000209255,0.000209255
23,72.5854,0.60983,2.17197,1.05757,0.01664,0.70833,0.38373,0.35711,0.61934,3.9011,1.08658,0.000211565,0.000211565,0.000211565
24,75.7434,0.61448,2.04093,1.02871,0.01395,0.70833,0.40493,0.37735,0.64782,3.8548,1.09473,0.000213216,0.000213216,0.000213216
25,78.7965,0.59234,1.9108,0.94499,0.0111,0.70833,0.42787,0.40125,0.70025,3.81421,1.1105,0.000214208,0.000214208,0.000214208
26,81.859,0.52842,2.126,0.987,0.00884,0.70833,0.44893,0.41237,0.72892,3.73625,1.12467,0.000214539,0.000214539,0.000214539
27,85.0415,0.50518,2.38551,0.96541,0.00743,0.70833,0.40153,0.3595,0.7038,3.73812,1.1207,0.000214211,0.000214211,0.000214211
28,88.1558,0.59618,1.86654,1.02416,0.00743,0.70833,0.40153,0.3595,0.7038,3.73812,1.1207,0.000213223,0.000213223,0.000213223
29,91.2607,0.86329,2.31996,1.39612,0.00711,0.70833,0.4398,0.38565,0.68851,3.71566,1.09298,0.000211575,0.000211575,0.000211575
30,94.2693,0.751,1.72289,1.09918,0.87416,0.04167,0.41534,0.38843,0.64583,3.735,1.07325,0.000209268,0.000209268,0.000209268
31,97.3181,0.57914,2.01953,1.035,0.87416,0.04167,0.41534,0.38843,0.64583,3.735,1.07325,0.000206301,0.000206301,0.000206301
32,100.426,0.75633,1.90285,1.1944,0.88037,0.05062,0.42225,0.37905,0.6718,3.70272,1.09693,0.000202674,0.000202674,0.000202674
33,103.468,0.57185,2.71335,1.13354,0.00627,0.70833,0.4135,0.37133,0.71977,3.71667,1.13285,0.000198387,0.000198387,0.000198387
34,106.432,0.60477,1.92526,1.092,0.00627,0.70833,0.4135,0.37133,0.71977,3.71667,1.13285,0.000193441,0.000193441,0.000193441
35,109.526,0.54059,2.80646,1.31439,0.00604,0.70833,0.42052,0.37701,0.69837,3.7068,1.13934,0.000187835,0.000187835,0.000187835
36,112.502,0.73651,1.79532,1.17691,0.87806,0.04167,0.4191,0.34252,0.7072,3.67009,1.15691,0.000181569,0.000181569,0.000181569
37,115.475,0.49017,1.61456,0.94002,0.87806,0.04167,0.4191,0.34252,0.7072,3.67009,1.15691,0.000174643,0.000174643,0.000174643
38,118.484,0.60016,2.11688,1.20822,0.898,0.08,0.42062,0.35047,0.72578,3.59993,1.16805,0.000167058,0.000167058,0.000167058
39,121.518,0.71435,1.81452,1.02994,0.88525,0.08333,0.37204,0.30997,0.74358,3.59674,1.19295,0.000158813,0.000158813,0.000158813
40,124.42,0.57301,1.92129,1.17776,0.88525,0.08333,0.37204,0.30997,0.74358,3.59674,1.19295,0.000149908,0.000149908,0.000149908
41,127.403,0.81177,2.49165,1.25847,0.88506,0.08333,0.38559,0.32349,0.70338,3.55419,1.17209,0.000140344,0.000140344,0.000140344
42,130.482,0.54493,2.01119,0.98414,0.88469,0.08333,0.39154,0.35077,0.66988,3.54037,1.14908,0.00013012,0.00013012,0.00013012
43,133.394,0.36612,1.65375,0.95418,0.88469,0.08333,0.39154,0.35077,0.66988,3.54037,1.14908,0.000119236,0.000119236,0.000119236
44,136.342,0.36931,1.74216,0.90995,0.88533,0.08333,0.43558,0.38791,0.69779,3.5083,1.16143,0.000107692,0.000107692,0.000107692
45,139.267,0.3371,1.85757,0.81495,0.88533,0.08333,0.43558,0.38791,0.69779,3.5083,1.16143,9.54885e-05,9.54885e-05,9.54885e-05
46,142.218,0.35922,1.65177,0.89511,0.88793,0.08333,0.52885,0.46611,0.72362,3.46357,1.17389,8.26253e-05,8.26253e-05,8.26253e-05
47,145.221,0.46385,1.71928,0.96995,0.88793,0.08333,0.52885,0.46611,0.72362,3.46357,1.17389,6.91023e-05,6.91023e-05,6.91023e-05
48,148.248,0.62051,2.28128,1.11042,0.88907,0.17326,0.63702,0.56305,0.72803,3.41392,1.17046,5.49197e-05,5.49197e-05,5.49197e-05
49,151.362,0.42427,1.84891,0.95217,0.88907,0.17326,0.63702,0.56305,0.72803,3.41392,1.17046,4.00773e-05,4.00773e-05,4.00773e-05
50,154.368,0.50399,1.84174,0.94354,0.8893,0.17942,0.61222,0.546,0.74564,3.33717,1.18072,2.45752e-05,2.45752e-05,2.45752e-05
